Time,BTC,ETH
2021-10-27 20:26:04,0.00017962369136360822,0.23851161593973355
2021-10-27 20:26:06,0.00017962369136360822,0.23851161593973355
2021-10-27 20:26:07,0.00017962369136360822,0.23851161593973355
2021-10-27 20:26:08,0.00017962369136360822,0.23851161593973355
2021-10-27 21:01:16,0.00017993328810738378,0.2367343402739658,6.0482411394364736e-05
2021-10-27 21:01:20,0.00017993328810738378,0.2367343402739658,6.0482411394364736e-05
2021-10-27 21:01:21,0.00017993328810738378,0.2367343402739658,6.0482411394364736e-05
2021-10-27 21:01:22,0.00017993328810738378,0.2367343402739658,6.0482411394364736e-05
2021-10-27 21:01:23,0.00017993328810738378,0.2367343402739658,6.0482411394364736e-05
2021-10-27 21:01:24,0.00017993328810738378,0.2367343402739658,6.0482411394364736e-05
2021-10-27 21:03:19,0.09520621121017639,0.00018010640441750486,0.24368622433043874,1.657865860795033e-05
2021-10-27 21:03:22,0.09520621121017639,0.00018010640441750486,0.24368622433043874,1.657865860795033e-05
2021-10-27 21:03:55,0.00027608538722269664,0.00018035959883294807,0.23811578871352346,1.659711699830163e-05
